term,estimate,p.value,conf.low,conf.high,w_GAVI,w_GACI,w_VGVI
CGEI,1.0056793554592631,0.774,0.9676251242183149,1.0452422238694803,0.1,0.1,0.6
age,0.9944781420116302,0.074,0.9884572211993844,1.0005254264550072,0.1,0.1,0.7000000000000001
AHEIScore,1.0009910330552725,0.677,0.9963347304014648,1.0056709838593725,0.1,0.1,0.7000000000000001
householdIncome,1.0391454241673406,0.134,0.9882483737347212,1.0927464155370143,0.1,0.1,0.7000000000000001
alcohol,1.004446527174968,0.688,0.9829163045705407,1.026460207186694,0.1,0.1,0.7000000000000001
smoker_Yes,1.075655280084969,0.408,0.9048870383144451,1.278746188237515,0.1,0.1,0.7000000000000001
sex_Male,1.1209198724037341,0.192,0.944215358566599,1.3308608414942391,0.1,0.1,0.7000000000000001
VSDI,0.9761812546237337,0.946,0.4775446182398924,1.9901741692619592,0.1,0.1,0.7000000000000001
CGEI,1.0054770836571707,0.778,0.9680773466034567,1.0443331567673693,0.1,0.1,0.7000000000000001
age,0.9944786321104625,0.074,0.9884577425748236,1.0005258862052446,0.1,0.1,0.8
AHEIScore,1.0009905650839437,0.677,0.9963342542486584,1.0056705231122918,0.1,0.1,0.8
householdIncome,1.039151241729978,0.134,0.988253874004488,1.0927525925204777,0.1,0.1,0.8
alcohol,1.004446860797417,0.688,0.9829166238391417,1.0264605556311497,0.1,0.1,0.8
smoker_Yes,1.0756768011606468,0.408,0.9049059919445294,1.2787706546366353,0.1,0.1,0.8
sex_Male,1.1209238635600987,0.192,0.9442185012238621,1.3308659072983722,0.1,0.1,0.8
VSDI,0.976179847372172,0.946,0.4775375923156959,1.9901968521016906,0.1,0.1,0.8
CGEI,1.005323991372233,0.781,0.9684279891226567,1.0436367264938038,0.1,0.1,0.8
age,0.9944790124805905,0.074,0.9884581469544317,1.000526243272003,0.1,0.1,0.9
AHEIScore,1.0009901897507765,0.677,0.9963338738099129,1.0056701520955746,0.1,0.1,0.9
householdIncome,1.0391556843178245,0.134,0.9882580513198275,1.092757335107425,0.1,0.1,0.9
alcohol,1.0044471368535985,0.688,0.98291688867568,1.026460843348789,0.1,0.1,0.9
smoker_Yes,1.075693916695057,0.408,0.9049210951158192,1.2787900709514255,0.1,0.1,0.9
sex_Male,1.1209271594544394,0.192,0.9442211089003029,1.330870072993884,0.1,0.1,0.9
VSDI,0.9761769010440864,0.946,0.4775311081648623,1.990210941845652,0.1,0.1,0.9
CGEI,1.0052041883259735,0.783,0.9687076396033315,1.0430864668057716,0.1,0.1,0.9
age,0.9944793160601106,0.074,0.9884584695248857,1.0005265284149842,0.1,0.1,1
AHEIScore,1.0009898823289747,0.677,0.9963335631193155,1.0056698472827752,0.1,0.1,1
householdIncome,1.0391591830629914,0.134,0.9882613260268462,1.0927610869230047,0.1,0.1,1
alcohol,1.0044473682749238,0.688,0.9829171110905632,1.0264610841799569,0.1,0.1,1
smoker_Yes,1.0757078443319474,0.408,0.9049334038633954,1.2788058445211294,0.1,0.1,1
sex_Male,1.1209299184374044,0.192,0.9442232993719382,1.330873549343052,0.1,0.1,1
VSDI,0.9761733483484406,0.946,0.47752526498638237,1.9902199100437838,0.1,0.1,1
CGEI,1.005107932251368,0.785,0.968935785180847,1.0426408920082415,0.1,0.1,1
age,0.9944182444266173,0.071,0.9883950070516944,1.0004677003179219,0.1,0.2,0.1
AHEIScore,1.0010555992189434,0.657,0.996400300956624,1.0057347381089778,0.1,0.2,0.1
householdIncome,1.0383641984815186,0.142,0.9874750011799088,1.0919556492983928,0.1,0.2,0.1
alcohol,1.004417264254322,0.69,0.9828839785700034,1.026434261074908,0.1,0.2,0.1
smoker_Yes,1.0732827340817257,0.423,0.9029264060648842,1.2758667157889607,0.1,0.2,0.1
sex_Male,1.119783683867656,0.196,0.9432263620015786,1.3295524617040186,0.1,0.2,0.1
VSDI,0.9740519161690139,0.941,0.4765548303349645,1.9854470717784958,0.1,0.2,0.1
CGEI,1.0298296308624775,0.315,0.9724406898286423,1.0907042527721895,0.1,0.2,0.1
age,0.994440579543771,0.072,0.9884182871292977,1.0004891529372473,0.1,0.2,0.2
AHEIScore,1.0010501544076893,0.659,0.9963935686250575,1.0057305700698185,0.1,0.2,0.2
householdIncome,1.0387747846331592,0.138,0.9878827590973662,1.0923699246170215,0.1,0.2,0.2
alcohol,1.0044001399808924,0.691,0.9828683414292508,1.0264154267160588,0.1,0.2,0.2
smoker_Yes,1.0734961864002166,0.421,0.9030708633412902,1.2761707591550582,0.1,0.2,0.2
sex_Male,1.1199422515384294,0.196,0.9433675123405507,1.3297306050475148,0.1,0.2,0.2
VSDI,0.9779487647944922,0.95,0.4785478190179887,1.9934634211885793,0.1,0.2,0.2
CGEI,1.021192202952049,0.425,0.9698916880745495,1.0752693510396192,0.1,0.2,0.2
age,0.9944536309820073,0.072,0.9884318692188516,1.0005017061543315,0.1,0.2,0.30000000000000004
AHEIScore,1.001037793323645,0.663,0.9963809124715045,1.005718468960859,0.1,0.2,0.30000000000000004
householdIncome,1.038954795502851,0.136,0.9880605755102158,1.0925525667485865,0.1,0.2,0.30000000000000004
alcohol,1.0044042286643846,0.691,0.9828730890194808,1.0264187928384487,0.1,0.2,0.30000000000000004
smoker_Yes,1.0739570191654875,0.419,0.9034506831087148,1.2767314517081587,0.1,0.2,0.30000000000000004
sex_Male,1.1201596718014262,0.195,0.9435565513953235,1.329981278212306,0.1,0.2,0.30000000000000004
VSDI,0.9786608611796909,0.951,0.47888452973724455,1.9950299313051718,0.1,0.2,0.30000000000000004
CGEI,1.0163105742237388,0.508,0.9687642207072024,1.0662345921152314,0.1,0.2,0.30000000000000004
age,0.9944610195419963,0.073,0.9884395507830225,1.000508818759763,0.1,0.2,0.4
AHEIScore,1.001028239926976,0.666,0.9963713200498775,1.0057089264559953,0.1,0.2,0.4
householdIncome,1.0390399912612158,0.135,0.9881443780956973,1.0926393867046227,0.1,0.2,0.4
alcohol,1.0044104484398602,0.691,0.9828796182455208,1.026424686043828,0.1,0.2,0.4
smoker_Yes,1.0743115804658598,0.416,0.9037480460113603,1.2771556187823088,0.1,0.2,0.4
sex_Male,1.1203175062606534,0.194,0.9436932566502803,1.3301640014165252,0.1,0.2,0.4
VSDI,0.9786270685553027,0.951,0.4788446093501969,1.9950441107142,0.1,0.2,0.4
CGEI,1.0133915811352199,0.565,0.9685324419620305,1.0603623177759063,0.1,0.2,0.4
age,0.9944655570973683,0.073,0.9884442649906621,1.000513189562734,0.1,0.2,0.5
AHEIScore,1.0010213565703647,0.668,0.9963644637322846,1.0057019954197484,0.1,0.2,0.5
householdIncome,1.039085653773706,0.135,0.9881891264382797,1.092686099333324,0.1,0.2,0.5
alcohol,1.004415818256141,0.69,0.9828851514920333,1.0264298894617694,0.1,0.2,0.5
smoker_Yes,1.0745665993811222,0.415,0.9039634300044503,1.2774585823190026,0.1,0.2,0.5
sex_Male,1.120428255643953,0.194,0.9437890193783017,1.3302924436399974,0.1,0.2,0.5
VSDI,0.9784325434639447,0.951,0.4787284941420743,1.9947053340822696,0.1,0.2,0.5
CGEI,1.011537214734262,0.604,0.9685871837973812,1.0564196629058802,0.1,0.2,0.5
age,0.9944685642270557,0.073,0.9884473875257801,1.00051608756044,0.1,0.2,0.6
AHEIScore,1.0010163077310739,0.669,0.9963594572732671,1.0056968888870592,0.1,0.2,0.6
householdIncome,1.0391127189947706,0.135,0.9882155583452475,1.0927138852554545,0.1,0.2,0.6
alcohol,1.0044201193830014,0.69,0.9828895478171078,1.0264340970358379,0.1,0.2,0.6
smoker_Yes,1.0747534730593449,0.414,0.9041218765541466,1.2776797208440385,0.1,0.2,0.6
sex_Male,1.1205082734342229,0.194,0.9438581424292558,1.33038533978001,0.1,0.2,0.6
VSDI,0.9782203728832319,0.95,0.4786076717505669,1.9943142515442986,0.1,0.2,0.6
CGEI,1.010278622643183,0.633,0.9687294514233367,1.0536339117852698,0.1,0.2,0.6
age,0.9944706805340997,0.073,0.9884495841243636,1.000518127831253,0.1,0.2,0.7000000000000001
AHEIScore,1.001012491322998,0.671,0.9963556839110949,1.0056930177657097,0.1,0.2,0.7000000000000001
householdIncome,1.0391300375652484,0.134,0.9882324166104568,1.0927317242096657,0.1,0.2,0.7000000000000001
alcohol,1.0044235474845034,0.69,0.9828930357199928,1.0264374684423438,0.1,0.2,0.7000000000000001
smoker_Yes,1.0748946442858422,0.413,0.9042418744891441,1.2778463524655401,0.1,0.2,0.7000000000000001
sex_Male,1.1205681649917627,0.194,0.94390984669474165,1.3304549173004678,0.1,0.2,0.7000000000000001
VSDI,0.9780260838547307,0.95,0.4784989466456352,1.9939490265555244,0.1,0.2,0.7000000000000001
CGEI,1.009376787531561,0.655,0.9688912077516899,1.0515755104044997,0.1,0.2,0.7000000000000001
age,0.994472241013677,0.073,0.9884512032533591,1.0005196327035153,0.1,0.2,0.8
AHEIScore,1.0010095224064397,0.671,0.9963527545120053,1.0056900002018505,0.1,0.2,0.8
householdIncome,1.0391417897508735,0.134,0.988243820902915,1.092743867766677,0.1,0.2,0.8
alcohol,1.0044263112035485,0.69,0.982895839260705,1.0264401957743539,0.1,0.2,0.8
smoker_Yes,1.0750044194437636,0.412,0.9043353506032965,1.2779756929614308,0.1,0.2,0.8
sex_Male,1.1206144313285766,0.193,0.9439497702722245,1.330508691830526,0.1,0.2,0.8
VSDI,0.9778563760901104,0.95,0.4784048428125472,1.9936267934538598,0.1,0.2,0.8
CGEI,1.0087023206221437,0.672,0.969048607456341,1.0499982082019723,0.1,0.2,0.8
age,0.9944734345674532,0.073,0.9884524413147139,1.000520784015891,0.1,0.2,0.9
AHEIScore,1.0010071544979022,0.672,0.9963504217048381,1.0056875898773343,0.1,0.2,0.9
householdIncome,1.0391501400571792,0.134,0.9882518998511386,1.0927525221770469,0.1,0.2,0.9
alcohol,1.004428573036199,0.689,0.9828981288554378,1.0264424331881512,0.1,0.2,0.9
smoker_Yes,1.0750919447492455,0.412,0.9044099787996845,1.278078679583948,0.1,0.2,0.9
sex_Male,1.1206511383388824,0.193,0.94398143426383,1.3305513710998222,0.1,0.2,0.9
VSDI,0.9777099952539223,0.949,0.47832413166315163,1.9933471489421486,0.1,0.2,0.9
CGEI,1.0081804807427792,0.686,0.9691937881669516,1.0487535495160436,0.1,0.2,0.9
age,0.9944743745880383,0.073,0.9884534161555961,1.0005216909607215,0.1,0.2,1
AHEIScore,1.001005225593474,0.673,0.9963485236584552,1.0056856241349483,0.1,0.2,1
householdIncome,1.0391562956651597,0.134,0.9882578382977302,1.0927589204038357,0.1,0.2,1
alcohol,1.0044304519287255,0.689,0.9829000278286643,1.026444295104372,0.1,0.2,1
smoker_Yes,1.0751632256603463,0.411,0.9044708184498128,1.2781624647342877,0.1,0.2,1
sex_Male,1.1206809176460142,0.193,0.9440071154965274,1.3305860052659633,0.1,0.2,1
VSDI,0.9775837864534147,0.949,0.47825481018455046,1.993105045175955,0.1,0.2,1
CGEI,1.0077655507624552,0.697,0.9693249219436023,1.0477476081659416,0.1,0.2,1
age,0.9944083203545762,0.07,0.9883844350277953,1.000458408442497,0.1,0.30000000000000004,0.1
AHEIScore,1.001069143939839,0.653,0.9964140538655524,1.005748141123827,0.1,0.30000000000000004,0.1
householdIncome,1.0381508379571531,0.144,0.9872657381729676,1.0917372457988013,0.1,0.30000000000000004,0.1
alcohol,1.0044284882791341,0.689,0.9828918180305649,1.0264491489331415,0.1,0.30000000000000004,0.1
smoker_Yes,1.0732461576575578,0.423,0.9029187687627408,1.2757906585592176,0.1,0.30000000000000004,0.1
sex_Male,1.1190768553238135,0.199,0.942599729870715,1.3287545911288003,0.1,0.30000000000000004,0.1
VSDI,0.9710817348689558,0.934,0.4749446688512881,1.979852972647691,0.1,0.30000000000000004,0.1
CGEI,1.0398365433028092,0.188,0.9811679982549305,1.1021454098641015,0.1,0.30000000000000004,0.1
age,0.9944227936120077,0.071,0.988399702549716,1.000472130333011,0.1,0.30000000000000004,0.2
AHEIScore,1.001081281480658,0.65,0.9964245800508205,1.005761923677288,0.1,0.30000000000000004,0.2
householdIncome,1.0385526867953456,0.14,0.9876628060989118,1.0921451205509274,0.1,0.30000000000000004,0.2
alcohol,1.0043864185572196,0.692,0.9828519508636925,1.0264045395321337,0.1,0.30000000000000004,0.2
smoker_Yes,1.072659526073773,0.426,0.9023822464213332,1.2751514686615681,0.1,0.30000000000000004,0.2
sex_Male,1.1191259724025402,0.199,0.942650479338639,1.328799803063574,0.1,0.30000000000000004,0.2
VSDI,0.9772952225538829,0.948,0.47818020628360947,1.992371698340947,0.1,0.30000000000000004,0.2
CGEI,1.0327953049358036,0.26,0.9764233963740268,1.0925251942563292,0.1,0.30000000000000004,0.2
age,0.9944374000551278,0.072,0.9884149898307145,1.0004860920376306,0.1,0.30000000000000004,0.30000000000000004
AHEIScore,1.0010714491803892,0.653,0.9964141850307289,1.0057526219765942,0.1,0.30000000000000004,0.30000000000000004
householdIncome,1.0388038631450496,0.138,0.9879105396580861,1.0924004842406758,0.1,0.30000000000000004,0.30000000000000004
alcohol,1.004380194347251,0.693,0.9828472269109545,1.026396654941869,0.1,0.30000000000000004,0.30000000000000004
smoker_Yes,1.0729222561240979,0.425,0.9025857132911281,1.2754895086178917,0.1,0.30000000000000004,0.30000000000000004
sex_Male,1.1194252094469477,0.198,0.9429140553151473,1.329139993305649,0.1,0.30000000000000004,0.30000000000000004
VSDI,0.9794950661888512,0.953,0.479305291874594,1.996856748144598,0.1,0.30000000000000004,0.30000000000000004
CGEI,1.025619391316831,0.341,0.9735542634562442,1.080544684833739,0.1,0.30000000000000004,0.30000000000000004
age,0.9944476731494933,0.072,0.9884257101820787,1.0004959414573582,0.1,0.30000000000000004,0.4
AHEIScore,1.0010590986189307,0.656,0.9964017031728936,1.005740363685751,0.1,0.30000000000000004,0.4
householdIncome,1.0389425499989609,0.136,0.988047134875014,1.092541663062743,0.1,0.30000000000000004,0.4
alcohol,1.0043846844519428,0.692,0.9828525898538993,1.0264002050143748,0.1,0.30000000000000004,0.4
smoker_Yes,1.0733176878818096,0.422,0.902912406123208,1.2759695197528693,0.1,0.30000000000000004,0.4
sex_Male,1.1196973765722131,0.197,0.9431519292525562,1.3294520442801192,0.1,0.30000000000000004,0.4
VSDI,0.9800351211551649,0.955,0.4795686009141529,1.9979905050717999,0.1,0.30000000000000004,0.4
CGEI,1.0209709740126185,0.411,0.9716969959491231,1.072801805132648,0.1,0.30000000000000004,0.4
age,0.9944546351998743,0.072,0.988432961680741,1.0005026292295565,0.1,0.30000000000000004,0.5
AHEIScore,1.0010485991215083,0.66,0.9963912189495998,1.0057298158171248,0.1,0.30000000000000004,0.5
householdIncome,1.039021631561268,0.135,0.9881249312020401,1.0926222539391277,0.1,0.30000000000000004,0.5
alcohol,1.0043911850401308,0.692,0.982859606578488,1.0264061619634137,0.1,0.30000000000000004,0.5
smoker_Yes,1.0736682831733495,0.42,0.9032058148104177,1.2763898197799626,0.1,0.30000000000000004,0.5
sex_Male,1.1199060629366322,0.196,0.9433337655075347,1.3296920999907396,0.1,0.30000000000000004,0.5
VSDI,0.9800058553001697,0.955,0.4795403115124682,1.9979640616652181,0.1,0.30000000000000004,0.5
CGEI,1.017738100290409,0.466,0.9707342847348792,1.0670646275489928,0.1,0.30000000000000004,0.5
age,0.9944594804350325,0.073,0.988438001339514,1.00050729016461,0.1,0.30000000000000004,0.6
AHEIScore,1.0010402702327221,0.662,0.996382950842167,1.0057213998361663,0.1,0.30000000000000004,0.6
householdIncome,1.0390695004124306,0.135,0.9881719711332752,1.0926710853330346,0.1,0.30000000000000004,0.6
alcohol,1.0043973636096963,0.691,0.9828661066794478,1.026412008553997,0.1,0.30000000000000004,0.6
smoker_Yes,1.0739519369076886,0.419,0.9034445844617758,1.2767279192449164,0.1,0.30000000000000004,0.6
sex_Male,1.120062940639711,0.195,0.943470226519002,1.3298728891917313,0.1,0.30000000000000004,0.6
VSDI,0.9797958467205445,0.954,0.47942155828959787,1.9975638188095268,0.1,0.30000000000000004,0.6
CGEI,1.015448808661832,0.51,0.9702325895435651,1.0628113623324387,0.1,0.30000000000000004,0.6
age,0.9944629796519621,0.073,0.9884416369939436,1.000510660002054,0.1,0.30000000000000004,0.7000000000000001
AHEIScore,1.00103370066501,0.664,0.9963764524114008,1.0057147383181604,0.1,0.30000000000000004,0.7000000000000001
householdIncome,1.0391001742846007,0.135,0.9882020829143152,1.0927024057888832,0.1,0.30000000000000004,0.7000000000000001
alcohol,1.0044027223151457,0.691,0.9828716765961045,1.0264171532242432,0.1,0.30000000000000004,0.7000000000000001
smoker_Yes,1.0741783163316088,0.417,0.903635787640777,1.276996848519522,0.1,0.30000000000000004,0.7000000000000001
sex_Male,1.120182557184879,0.195,0.9435741601535637,1.330010901976877,0.1,0.30000000000000004,0.7000000000000001
VSDI,0.9795413213861578,0.953,0.4792820964587579,1.9970675095481902,0.1,0.30000000000000004,0.7000000000000001
CGEI,1.0137740657285814,0.544,0.9699728141147282,1.059587046136734,0.1,0.30000000000000004,0.7000000000000001
age,0.9944655965845308,0.073,0.988444353549823,1.0005131824328426,0.1,0.30000000000000004,0.8
AHEIScore,1.001028459862537,0.666,0.9963712809117427,1.0057094115629193,0.1,0.30000000000000004,0.8
householdIncome,1.0391208078732583,0.134,0.9882223182015809,1.0927234938064356,0.1,0.30000000000000004,0.8
alcohol,1.0044072593566025,0.691,0.9828763589660406,1.0264215456136823,0.1,0.30000000000000004,0.8
smoker_Yes,1.0743603395564074,0.416,0.9037898728991018,1.2772125984780482,0.1,0.30000000000000004,0.8
sex_Male,1.1202757487316135,0.195,0.9436550691958426,1.3301185169990202,0.1,0.30000000000000004,0.8
VSDI,0.9792902199221097,0.953,0.4791460908294163,1.996573876868435,0.1,0.30000000000000004,0.8
CGEI,1.012508859859874,0.571,0.9698442995480212,1.0570802210011758,0.1,0.30000000000000004,0.8
age,0.9944676138158998,0.073,0.9884464460282292,1.000515128263007,0.1,0.30000000000000004,0.9
AHEIScore,1.0010242137314036,0.667,0.9963670983399077,1.0057050883491498,0.1,0.30000000000000004,0.9
householdIncome,1.039135259280328,0.134,0.9882364767043392,1.0927382769501623,0.1,0.30000000000000004,0.9
alcohol,1.0044110899552887,0.691,0.9828802935434915,1.026425274508898,0.1,0.30000000000000004,0.9
smoker_Yes,1.074508661590382,0.415,0.9039156323477922,1.2773881180562192,0.1,0.30000000000000004,0.9
sex_Male,1.1203499357231725,0.194,0.9437194398853196,1.3302042409467913,0.1,0.30000000000000004,0.9
VSDI,0.9790584278452472,0.952,0.4790213001447783,1.9961162786678184,0.1,0.30000000000000004,0.9
CGEI,1.0115255294602628,0.594,0.9697892015898895,1.055085087044402,0.1,0.30000000000000004,0.9
age,0.9944692091511216,0.073,0.9884480998377123,1.0005166680964035,0.1,0.30000000000000004,1
AHEIScore,1.0010207191830747,0.668,0.9963636607624472,1.0057015256763513,0.1,0.30000000000000004,1
householdIncome,1.0391457257731551,0.134,0.9882467210121777,1.0927489934116679,0.1,0.30000000000000004,1
alcohol,1.0044143398259018,0.69,0.9828836202799138,1.0264284504718868,0.1,0.30000000000000004,1
smoker_Yes,1.0746312625382815,0.415,0.904019710285534,1.2775330218825585,0.1,0.30000000000000004,1
sex_Male,1.1204101619629931,0.194,0.9437716724853328,1.3302738680902428,0.1,0.30000000000000004,1
VSDI,0.9788498340478211,0.952,0.478909416885011,1.995703408766474,0.1,0.30000000000000004,1
CGEI,1.0107424973383363,0.613,0.9697760635344551,1.0534642868987463,0.1,0.30000000000000004,1
age,0.9944103221621314,0.07,0.9883860976959998,1.000460760255807,0.1,0.4,0.1
AHEIScore,1.0010661379175285,0.654,0.9964113285831201,1.005744863019609,0.1,0.4,0.1
householdIncome,1.0380908006129097,0.145,0.9872061627930172,1.0916763820801452,0.1,0.4,0.1
alcohol,1.0044471341690524,0.688,0.9829083731563848,1.0264700812498808,0.1,0.4,0.1
smoker_Yes,1.073719506187007,0.42,0.9033300671483159,1.276336963775901,0.1,0.4,0.1
sex_Male,1.118746203910533,0.2,0.942304139531002,1.328384814146625,0.1,0.4,0.1
VSDI,0.9685701094364921,0.928,0.47359265174234033,1.9750633558076596,0.1,0.4,0.1
CGEI,1.043493834745456,0.141,0.9859889078887634,1.10450253199212,0.1,0.4,0.1
age,0.9944152662131639,0.071,0.9883915628783211,1.0004652036156745,0.1,0.4,0.2
AHEIScore,1.001092549674354,0.646,0.9964360791788989,1.0057730109749132,0.1,0.4,0.2
householdIncome,1.0384018584332397,0.142,0.9875128343413678,1.0919929913371518,0.1,0.4,0.2
alcohol,1.0043924827803425,0.692,0.9828556667702116,1.0264131460603543,0.1,0.4,0.2
smoker_Yes,1.072575812251582,0.427,0.9023277485374044,1.275029299369873,0.1,0.4,0.2
sex_Male,1.1185975304713178,0.201,0.9421834531632919,1.3282012273236143,0.1,0.4,0.2
VSDI,0.9753397809108988,0.944,0.4771342598230812,1.9886459136768417,0.1,0.4,0.2
CGEI,1.0401771271683207,0.181,0.9819256634274041,1.1020134763021565,0.1,0.4,0.2
age,0.9944264146079939,0.071,0.9884033738922721,1.0004757174439791,0.1,0.4,0.30000000000000004
AHEIScore,1.0010923164073766,0.646,0.9964350104865016,1.0057736065168577,0.1,0.4,0.30000000000000004
householdIncome,1.038661833407361,0.139,0.98776913237266,1.092257519210477,0.1,0.4,0.30000000000000004
alcohol,1.0043722689913859,0.693,0.9828372953404815,1.0263908646513151,0.1,0.4,0.30000000000000004
smoker_Yes,1.0724155210056545,0.428,0.9021694650212939,1.27487103773383,0.1,0.4,0.30000000000000004
sex_Male,1.1188263586307183,0.2,0.9423880478937524,1.32845707628173,0.1,0.4,0.30000000000000004
VSDI,0.9788987121387827,0.952,0.47898044159310477,1.9958084340160904,0.1,0.4,0.30000000000000004
CGEI,1.0337163463346586,0.24,0.9781056148677651,1.0925930220385602,0.1,0.4,0.30000000000000004
age,0.9944367482734104,0.072,0.9884142429312903,1.000485539279109,0.1,0.4,0.4
AHEIScore,1.0010827332103713,0.649,0.9964251124643867,1.0057643049675067,0.1,0.4,0.4
householdIncome,1.0388338325995912,0.137,0.9879386618720094,1.092432527516826,0.1,0.4,0.4
alcohol,1.00436963682622,0.693,0.982835980335144,1.0263867920983902,0.1,0.4,0.4
smoker_Yes,1.0726459736805298,0.427,0.902352114240088,1.2751616492130955,0.1,0.4,0.4
sex_Male,1.1191271506420952,0.199,0.9426526277702479,1.3287995588799657,0.1,0.4,0.4
VSDI,0.9803555481466364,0.955,0.4797267311918909,1.9987528760565778,0.1,0.4,0.4
CGEI,1.0279136555949373,0.302,0.9755453384610421,1.0831754770979714,0.1,0.4,0.4
age,0.9944448054835678,0.072,0.9884226868840873,1.0004932271529505,0.1,0.4,0.5
AHEIScore,1.001071790131147,0.653,0.9964140957920421,1.0057533994069123,0.1,0.4,0.5
householdIncome,1.0389423773861024,0.136,0.9880456278464189,1.0925429721166486,0.1,0.4,0.5
alcohol,1.0043735220811407,0.693,0.9828407442393091,1.026389734855281,0.1,0.4,0.5
smoker_Yes,1.0729662655650172,0.425,0.9026167212258293,1.275550448016685,0.1,0.4,0.5
